block_name,fom_id,status,comment_open,comment_closed,comment_open_now,planned_date,create_date,planned_area_ha,watershed,oldgrowth_overlap_ha,ancient_overlap_ha,deferral_overlap_ha,ogma_overlap_ha,nearest_rec_m,nearest_fish_m,why_matters,priority_score
CKsb425,1424,Comment closed,2024-05-15,2024-06-14,no,2024-06-15,2024-06-18,1.0,Gold River area,0.97,0.0,0.0,0.0,17508,2025,overlaps mapped old growth,1.5
N89HL,1599,Comment closed,2024-06-19,2024-07-19,no,2024-06-15,2024-06-11,0.8,Gold River,0.82,0.0,0.0,0.0,7174,621,overlaps mapped old growth,1.2
BUja4XM,2131,Comment closed,2025-03-13,2025-04-13,no,2026-04-01,2025-04-16,0.7,Gold River area,0.62,0.0,0.0,0.0,18195,928,overlaps mapped old growth,0.9
MU003H,1599,Comment closed,2024-06-19,2024-07-19,no,2024-06-15,2024-06-11,0.5,Gold River,0.52,0.0,0.0,0.0,4294,1469,overlaps mapped old growth,0.8
BC-2,1289,Comment closed,2024-04-04,2024-05-04,no,2024-04-15,2024-05-27,0.3,Gold River area,0.16,0.0,0.16,0.0,8709,3401,overlaps mapped old growth; in a priority-deferral area,0.6
BUbc49A,2881,Comment closed,2026-03-02,2026-04-02,no,2027-04-01,2026-04-09,6.4,Gold River area,0.32,0.0,0.0,0.0,11105,2329,overlaps mapped old growth,0.5
BUbc49A,2131,Comment closed,2025-03-13,2025-04-13,no,2027-04-01,2025-04-16,6.4,Gold River area,0.34,0.0,0.0,0.0,11105,2330,overlaps mapped old growth,0.5
E070C4KS,2131,Comment closed,2025-03-13,2025-04-13,no,2026-04-01,2025-04-16,8.7,Gold River area,0.0,0.0,0.0,0.0,16478,952,,0.0
E070C4JP,1223,Comment closed,2024-04-03,2024-05-03,no,2024-10-01,2024-05-07,55.2,Burman River,0.0,0.0,0.0,0.0,13031,341,,0.0
F051C4HW,1223,Comment closed,2024-04-03,2024-05-03,no,2024-04-01,2024-05-07,0.5,Burman River,0.0,0.0,0.0,0.0,17397,812,,0.0
BUbc5KR,2881,Comment closed,2026-03-02,2026-04-02,no,2027-04-01,2026-04-09,0.5,Gold River area,0.0,0.0,0.0,0.0,9231,2601,,0.0
BUbc49C,2131,Comment closed,2025-03-13,2025-04-13,no,2027-04-01,2025-04-16,11.3,Gold River area,0.0,0.0,0.0,0.0,9806,3728,,0.0
E070C4GU,1223,Comment closed,2024-04-03,2024-05-03,no,2024-10-01,2024-05-07,2.8,Gold River area,0.0,0.0,0.0,0.0,11606,2115,,0.0
K198AH,1599,Comment closed,2024-06-19,2024-07-19,no,2024-06-15,2024-06-11,3.2,Gold River,0.0,0.0,0.0,0.0,2754,1047,,0.0
MU010,1290,Comment closed,2024-04-04,2024-05-04,no,2024-04-15,2024-05-27,6.2,Gold River,0.0,0.0,0.0,0.0,6407,555,,0.0
MU005,1290,Comment closed,2024-04-04,2024-05-04,no,2024-04-15,2024-05-27,2.1,Gold River,0.0,0.0,0.0,0.0,5074,305,,0.0
UN557,2937,Comment closed,2026-02-19,2026-03-21,no,2026-06-01,2026-03-23,22.8,Gold River area,0.0,0.0,0.0,0.0,16061,2450,,0.0
