block_name,fom_id,status,comment_open,comment_closed,comment_open_now,planned_date,create_date,planned_area_ha,watershed,watershed_card,oldgrowth_overlap_ha,ancient_overlap_ha,deferral_overlap_ha,ogma_overlap_ha,nearest_rec_m,nearest_fish_m,why_matters,priority_score
7239A-2,3124,Comment closed,2026-05-08,2026-06-08,no,2026-06-01,2026-04-30,11.1,Braden Creek,Gordon River,2.71,0.0,0.0,0.0,4320,8010,overlaps mapped old growth,4.1
JE5,1808,Comment closed,2024-09-13,2024-10-13,no,2024-10-15,2025-05-22,1.3,Loss Creek,Port Renfrew area,0.77,0.0,0.0,0.0,11257,5361,overlaps mapped old growth,1.2
JE2,1808,Comment closed,2024-09-13,2024-10-13,no,2024-10-15,2025-05-22,12.7,Jack Elliott Creek,Port Renfrew area,0.0,0.0,0.0,0.0,10706,5641,,0.0
JE3,1808,Comment closed,2024-09-13,2024-10-13,no,2024-10-15,2025-05-22,4.2,Jack Elliott Creek,Port Renfrew area,0.0,0.0,0.0,0.0,11063,5497,,0.0
JE1,1808,Comment closed,2024-09-13,2024-10-13,no,2024-10-15,2025-05-22,15.3,Jack Elliott Creek,Port Renfrew area,0.0,0.0,0.0,0.0,10556,5176,,0.0
JE4,1808,Comment closed,2024-09-13,2024-10-13,no,2024-10-15,2025-05-22,11.1,Loss Creek,Port Renfrew area,0.0,0.0,0.0,0.0,10943,5121,,0.0
WCH36,1808,Comment closed,2024-09-13,2024-10-13,no,2024-10-15,2025-05-22,44.4,McVicar Creek,Port Renfrew area,0.0,0.0,0.0,0.0,15988,9392,,0.0
WCH30,1875,Comment closed,2024-10-10,2024-11-10,no,2024-12-01,2024-10-02,10.8,Bent Creek,Port Renfrew area,0.0,0.0,0.0,0.0,14792,7863,,0.0
WCH35,1808,Comment closed,2024-09-13,2024-10-13,no,2024-10-15,2025-05-22,22.4,Pat Philip Creek,Port Renfrew area,0.0,0.0,0.0,0.0,15620,8625,,0.0
WCH31,1875,Comment closed,2024-10-10,2024-11-10,no,2024-12-01,2024-10-02,12.4,Circo Creek,Port Renfrew area,0.0,0.0,0.0,0.0,14997,8195,,0.0
JRE25,1808,Comment closed,2024-09-13,2024-10-13,no,2024-10-15,2025-05-22,18.4,Jordan River,Port Renfrew area,0.0,0.0,0.0,0.0,19940,14043,,0.0
JRW32,1367,Comment closed,2024-04-11,2024-05-11,no,2024-07-01,2024-04-05,32.2,Sinn Fein Creek,Port Renfrew area,0.0,0.0,0.0,0.0,16527,10927,,0.0
JRW30,1367,Comment closed,2024-04-11,2024-05-11,no,2024-07-01,2024-04-05,16.1,Uglow Creek,Port Renfrew area,0.0,0.0,0.0,0.0,15813,10281,,0.0
SJsj5P6,2295,Comment closed,2025-05-21,2025-06-21,no,2026-05-06,2025-06-25,10.7,Mosquito Creek,San Juan River,0.0,0.0,0.0,0.0,5435,1078,,0.0
SJsj5P6,1220,Comment closed,2024-04-03,2024-05-06,no,2026-07-09,2024-05-07,8.8,Mosquito Creek,San Juan River,0.0,0.0,0.0,0.0,5464,1105,,0.0
SJsj5GS,2295,Comment closed,2025-05-21,2025-06-21,no,2027-07-07,2025-06-25,10.8,Blakeney Creek,San Juan River,0.0,0.0,0.0,0.0,7400,2205,,0.0
SJsj5GQ,2295,Comment closed,2025-05-21,2025-06-21,no,2027-07-07,2025-06-25,17.8,Garbage Creek,San Juan River,0.0,0.0,0.0,0.0,6314,1023,,0.0
SJsj5GN,1220,Comment closed,2024-04-03,2024-05-06,no,2025-07-03,2024-05-07,8.5,Garbage Creek,San Juan River,0.0,0.0,0.0,0.0,6332,755,,0.0
7017-1,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,14.7,Browns Creek,Gordon River,0.0,0.0,0.0,0.0,1498,8023,,0.0
7017-2,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,3.7,Browns Creek,Gordon River,0.0,0.0,0.0,0.0,2374,7590,,0.0
8011-1,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,0.6,Renfrew Creek,Renfrew Creek,0.0,0.0,0.0,0.0,5860,1570,,0.0
9709,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,28.5,Harris Creek,Harris Creek,0.0,0.0,0.0,0.0,2086,339,,0.0
9707,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,10.8,Harris Creek,Harris Creek,0.0,0.0,0.0,0.0,715,478,,0.0
8272,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,15.0,Harris Creek,Harris Creek,0.0,0.0,0.0,0.0,1709,642,,0.0
7522-1,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,20.0,Gordon River,Gordon River,0.0,0.0,0.0,0.0,8496,8458,,0.0
7522-2,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,5.3,Gordon River,Gordon River,0.0,0.0,0.0,0.0,9179,8298,,0.0
7700,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,38.1,Braden Creek,Gordon River,0.0,0.0,0.0,0.0,9696,6144,,0.0
7239A-1,3124,Comment closed,2026-05-08,2026-06-08,no,2026-06-01,2026-04-30,3.5,Braden Creek,Gordon River,0.0,0.0,0.0,0.0,4502,7664,,0.0
8267,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,16.8,Hemmingsen Creek,Harris Creek,0.0,0.0,0.0,0.0,4067,812,,0.0
8027,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,7.0,Renfrew Creek,Renfrew Creek,0.0,0.0,0.0,0.0,6224,2024,,0.0
8173,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,25.8,Harris Creek,Harris Creek,0.0,0.0,0.0,0.0,1354,455,,0.0
5149,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,10.0,Caycuse River,Caycuse River,0.0,0.0,0.0,0.0,14847,17255,,0.0
7319,2416,Comment closed,2025-06-19,2025-07-19,no,2025-09-01,2025-10-23,5.3,Loup Creek,Gordon River,0.0,0.0,0.0,0.0,13735,12988,,0.0
7318,2416,Comment closed,2025-06-19,2025-07-19,no,2025-09-01,2025-10-23,13.8,Loup Creek,Gordon River,0.0,0.0,0.0,0.0,15153,13693,,0.0
MB26,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,9.2,Gordon River,Gordon River,0.0,0.0,0.0,0.0,13974,9515,,0.0
MB28,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,9.4,Gordon River,Gordon River,0.0,0.0,0.0,0.0,14025,9300,,0.0
MB21,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,9.4,Gordon River,Gordon River,0.0,0.0,0.0,0.0,14305,9468,,0.0
7710,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,15.8,Hemmingsen Creek,Harris Creek,0.0,0.0,0.0,0.0,10326,6065,,0.0
MB10A,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,8.8,Gordon River,Gordon River,0.0,0.0,0.0,0.0,13330,9076,,0.0
MB12,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,7.5,Gordon River,Gordon River,0.0,0.0,0.0,0.0,12873,8673,,0.0
MB08,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,9.6,Gordon River,Gordon River,0.0,0.0,0.0,0.0,11097,7104,,0.0
MB14,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,15.2,Gordon River,Gordon River,0.0,0.0,0.0,0.0,11740,7727,,0.0
MB05,2233,Comment closed,2025-03-28,2025-04-27,no,2025-04-30,2025-05-07,10.1,Gordon River,Gordon River,0.0,0.0,0.0,0.0,12824,8839,,0.0
5577,1891,Comment closed,2024-10-17,2024-11-17,no,2024-11-15,2025-10-22,16.6,Wilson Creek,Caycuse River,0.0,0.0,0.0,0.0,23286,23281,,0.0
5572,1891,Comment closed,2024-10-17,2024-11-17,no,2024-11-15,2025-10-22,8.1,Wilson Creek,Caycuse River,0.0,0.0,0.0,0.0,22492,22282,,0.0
5571,1891,Comment closed,2024-10-17,2024-11-17,no,2024-11-15,2025-10-22,4.5,Wilson Creek,Caycuse River,0.0,0.0,0.0,0.0,21865,21893,,0.0
5563-1,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,0.7,Wilson Creek,Caycuse River,0.0,0.0,0.0,0.0,22897,22058,,0.0
5563-2,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,24.8,Wilson Creek,Caycuse River,0.0,0.0,0.0,0.0,21985,20834,,0.0
5642,2416,Comment closed,2025-06-19,2025-07-19,no,2025-12-01,2025-10-23,1.7,Caycuse River,Caycuse River,0.0,0.0,0.0,0.0,20934,20098,,0.0
7341,1897,Comment closed,2024-10-17,2024-11-17,no,2024-11-15,2024-10-09,9.7,Loup Creek,Gordon River,0.0,0.0,0.0,0.0,16834,13541,,0.0
5131,2887,Comment closed,2026-01-22,2026-02-23,no,2026-02-15,2026-03-12,38.5,Caycuse River,Caycuse River,0.0,0.0,0.0,0.0,18905,17045,,0.0
7577-2,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,13.3,Gordon River,Gordon River,0.0,0.0,0.0,0.0,15266,11033,,0.0
7577-1,3071,Comment closed,2026-04-02,2026-05-04,no,2026-05-15,2026-03-25,7.9,Hauk Creek,Gordon River,0.0,0.0,0.0,0.0,15804,11485,,0.0
